version,file_url,method,id,checked
jdk-23,https://github.com/eisop/jdk/tree/jdk-23/src/jdk.jfr/share/classes/jdk/jfr/internal/Type.java,public void setFields(List<ValueDescriptor> fields);,0,False
jdk-23,https://github.com/eisop/jdk/tree/jdk-23/src/jdk.jfr/share/classes/jdk/jfr/internal/Type.java,"public <T> T getAnnotationValue(Class<? extends java.lang.annotation.Annotation> clazz, T defaultValue);",1,False
jdk-23,https://github.com/eisop/jdk/tree/jdk-23/src/jdk.jfr/share/classes/jdk/jfr/internal/Type.java,public boolean hasAnnotation(Class<? extends java.lang.annotation.Annotation> clazz);,2,False
jdk-23,https://github.com/eisop/jdk/tree/jdk-23/src/java.compiler/share/classes/javax/lang/model/util/Elements.java,default DocCommentKind getDocCommentKind(Element e);,0,False
jdk-23,https://github.com/eisop/jdk/tree/jdk-23/src/java.compiler/share/classes/javax/lang/model/util/Elements.java,enum DocCommentKind {,1,False
jdk-23,https://github.com/eisop/jdk/tree/jdk-23/src/java.compiler/share/classes/javax/lang/model/util/Elements.java,"END_OF_LINE, TRADITIONAL",2,False
jdk-23,https://github.com/eisop/jdk/tree/jdk-23/src/java.compiler/share/classes/javax/lang/model/util/Types.java,default <T extends TypeMirror> T stripAnnotations(T t);,0,False
jdk-23,https://github.com/eisop/jdk/tree/jdk-23/src/jdk.compiler/share/classes/com/sun/tools/javac/tree/TreeInfo.java,"public static boolean isExplicitThisReference(Types types, Type.ClassType currentClass, JCTree tree);",0,False
jdk-23,https://github.com/eisop/jdk/tree/jdk-23/src/jdk.compiler/share/classes/com/sun/tools/javac/tree/TreeInfo.java,public static boolean isConstructorCall(JCMethodInvocation invoke);,1,False
jdk-23,https://github.com/eisop/jdk/tree/jdk-23/src/jdk.compiler/share/classes/com/sun/tools/javac/code/Symbol.java,"private record PermittedClassWithPos(Symbol permittedClass, int pos) {",0,False
jdk-23,https://github.com/eisop/jdk/tree/jdk-23/src/jdk.compiler/share/classes/com/sun/tools/javac/code/Symbol.java,"public void addPermittedSubclass(ClassSymbol csym, int pos);",1,False
jdk-23,https://github.com/eisop/jdk/tree/jdk-23/src/jdk.compiler/share/classes/com/sun/tools/javac/code/Symbol.java,public boolean isPermittedSubclass(Symbol csym);,2,False
jdk-23,https://github.com/eisop/jdk/tree/jdk-23/src/jdk.compiler/share/classes/com/sun/tools/javac/code/Symbol.java,public void clearPermittedSubclasses();,3,False
jdk-23,https://github.com/eisop/jdk/tree/jdk-23/src/jdk.compiler/share/classes/com/sun/tools/javac/code/Symbol.java,public void setPermittedSubclasses(List<Symbol> permittedSubs);,4,False
jdk-23,https://github.com/eisop/jdk/tree/jdk-23/src/jdk.compiler/share/classes/com/sun/tools/javac/code/Types.java,"public boolean isUnconditionallyExact(Type source, Type target);",0,False
jdk-23,https://github.com/eisop/jdk/tree/jdk-23/src/jdk.compiler/share/classes/com/sun/tools/javac/code/Types.java,"public boolean isUnconditionallyExactPrimitives(Type selectorType, Type targetType);",1,False
jdk-23,https://github.com/eisop/jdk/tree/jdk-23/src/jdk.compiler/share/classes/com/sun/tools/javac/comp/Resolve.java,"Symbol findVar(DiagnosticPosition pos, Env<AttrContext> env, Name name);",0,False
jdk-23,https://github.com/eisop/jdk/tree/jdk-23/src/jdk.compiler/share/classes/com/sun/tools/javac/comp/Resolve.java,"Symbol findIdentInternal(DiagnosticPosition pos, Env<AttrContext> env, Name name, KindSelector kind);",1,False
jdk-23,https://github.com/eisop/jdk/tree/jdk-23/src/jdk.compiler/share/classes/com/sun/tools/javac/comp/Resolve.java,"public boolean isEarlyReference(Env<AttrContext> env, JCTree base, VarSymbol v);",2,False
jdk-23,https://github.com/eisop/jdk/tree/jdk-23/src/jdk.compiler/share/classes/com/sun/tools/javac/model/JavacTypes.java,@DefinedBy(Api.LANGUAGE_MODEL),0,False
jdk-23,https://github.com/eisop/jdk/tree/jdk-23/src/jdk.compiler/share/classes/com/sun/tools/javac/model/JavacTypes.java,"@SuppressWarnings(""unchecked"")",1,False
jdk-23,https://github.com/eisop/jdk/tree/jdk-23/src/jdk.compiler/share/classes/com/sun/tools/javac/model/JavacTypes.java,public <T extends TypeMirror> T stripAnnotations(T t);,2,False
jdk-23,https://github.com/eisop/jdk/tree/jdk-23/src/jdk.crypto.cryptoki/share/classes/sun/security/pkcs11/P11Key.java,private abstract static class P11PrivateKey extends P11Key implements PrivateKey {,0,False
jdk-23,https://github.com/eisop/jdk/tree/jdk-23/src/jdk.crypto.cryptoki/share/classes/sun/security/pkcs11/P11Key.java,private abstract static class P11PublicKey extends P11Key implements PublicKey {,1,False
jdk-23,https://github.com/eisop/jdk/tree/jdk-23/src/java.base/share/classes/sun/net/www/MessageHeader.java,public final class MessageHeader {,0,False
jdk-23,https://github.com/eisop/jdk/tree/jdk-23/src/java.base/share/classes/sun/util/calendar/CalendarDate.java,public abstract sealed class CalendarDate implements Cloneable permits BaseCalendar.Date {,0,False
jdk-23,https://github.com/eisop/jdk/tree/jdk-23/src/java.base/share/classes/sun/util/locale/BaseLocale.java,"public static final byte ROOT, ENGLISH, US, FRENCH, GERMAN, ITALIAN, JAPANESE, KOREAN, CHINESE, SIMPLIFIED_CHINESE, TRADITIONAL_CHINESE, FRANCE, GERMANY, ITALY, JAPAN, KOREA, UK, CANADA, CANADA_FRENCH, NUM_CONSTANTS;",0,False
